Домен	Артикул	Тип товара	Наименование	Габариты	Цвет	Материал	Особенности	Цена (₽)	ID
Мебель		Тумба под умывальник	Орхидея	60×45×60	белый		подвесная, патина, патина с цветами	15700	s1_1
Мебель		Диван-кушетка	Кокон		пудровый	рогожка	1-местная	19400	s1_2
Мебель		Полутораспальная кровать	Камелия	120×200	пудровый	велюр		28900	s1_3
Мебель		Кресло-мешок	Кокон		серый	велюр	XXL	5900	s1_4
Мебель		Шкаф для прихожей пенал	Стокгольм	50×30×210	дуб артизан		для прихожей	9700	s1_5
Мебель		Стол обеденный	Турин	160×90	орех	шпон ореха	раздвижной	38700	s1_6
Мебель		Журнальный столик	Палаццо	110×60	чёрный	мрамор каррара, металл	овальный	33800	s1_7
Мебель		Кресло-реклайнер	Премьер		графит	велюр, ткань	механический, с подножкой, механический с подножкой	34800	s1_8
Мебель		Диван угловой	Лофт		чёрная	экокожа	с механизмом дельфин, угловой, лофт	44900	s1_9
Мебель		Шкаф детский	Школьник		белый, бирюзовый		2-секционный, с полками, 2-секционный с полками	14200	s1_10
Мебель		Зеркало-трюмо отдельностоящее в раме с подсветкой		60×80			с подсветкой, отдельностоящее	13800	s1_11
Мебель		Стул	Виндзор		натуральный	массив	из массива бука, классический	4800	s1_12
Мебель		Кресло подвесное	Качели		белый	искусственный ротанг	подвесное, на стойке, swing chair на стойке	28400	s1_13
Мебель		Зеркало с подсветкой	Лазурь	90×70			с подсветкой, антипар, регулировка температуры света, прямоугольное	13700	s1_14
Мебель		Туалетный столик	Карина	90×45	белый		с подсветкой, матовый, с подсветкой зеркала	19700	s1_15
Мебель		Сервант с подсветкой	Камелия	140×45×185	белый, золото	стекло	с подсветкой, стеклянные дверцы, с патиной	48700	s1_16
Мебель		Стул барный	Минск			ЛДСП	регулируемая высота, эконом, на крестовине, сиденье на крестовине	2900	s1_17
Мебель		Зеркало-трюмо	Камелия	80×40×40	белый, розовый, пудровый		с откидным зеркалом	19700	s1_18
Мебель		Кровать	Альфа	160×200	белый, чёрный, венге		с подъёмным механизмом	34800	s1_19
Мебель		Диван-канапе	Лион		изумрудный, золото	велюр	2-местный, ножки золото	48700	s1_20
Мебель		Стол обеденный	Лофт	180×80	дуб артизан	металл	лофт, на металлокаркасе	28400	s1_21
Мебель		Банкетка длинная	Лион	180×40×45	графит, чёрный	велюр, металл		14700	s1_22
Мебель		Тумба прикроватная с 1 ящиком		40×35×50	дуб сонома	ЛДСП	1 ящиком	3400	s1_23
Мебель		Вешалка-стойка	Альпы	50×30×170	чёрный	металл	напольная, напольная с обувницей	6800	s1_24
Мебель		Кресло-реклайнер	Стокгольм		серый	велюр, ткань	с пуфом	26800	s1_25
Мебель		Картина-постер	Северянин, Карелия	60×80	дуб			3400	s1_26
Мебель		Диван прямой	Стокгольм	180×85	серый	рогожка	раскладной, прямой, скандинавский, раскладной книжка, скандинавский стиль	28900	s1_27
Мебель		Кровать	Орхидея	160×200	графит	ЛДСП	с подъёмным механизмом, двуспальная с подъёмным механизмом	27500	s1_28
Мебель		Стеллаж многоуровневый	Лофт	150×30×220	чёрный, дуб	металл	лофт	12700	s1_29
Мебель		Туалетный столик	Ариэль	100×40×140	шампань		LED, с зеркалом, с зеркалом и подсветкой LED	22800	s1_30
Мебель		Шкаф-купе	Стокгольм	220×60×220	дуб артизан		3-дверный, с зеркалом, 3-дверный с зеркалом	51400	s1_31
Мебель		Кровать с тумбами в изголовье	Атлант	180×200	венге	экокожа, ЛДСП		42800	s1_32
Мебель		Стол кухонный стеклянный	Модерн	110×70	чёрный, прозрачный	стекло		9400	s1_33
Мебель		Диван прямой 3-местный	Норд		горчичный	велюр	3-местный, прямой	42700	s1_34
Мебель		Скульптура декоративная	Тоскана	35 см	белый	керамика	абстракция	3700	s1_35
Мебель		Диван-канапе	Орхидея		золото	гобелен, лён	2-местный, ножки золото, патина, 2-местный с резьбой, ножки патина	58400	s1_36
Мебель		Покрывало летнее	Тюльпан	240×260	зелёный	лён		5200	s1_37
Мебель		Комод	Парма	120×45×90	дуб артизан			24700	s1_38
Мебель		Стол угловой компьютерный		150×120	венге	ЛДСП	угловой, с надстройкой	13700	s1_39
Мебель		Стилный диван	Линкольн	240×95	оливковый	велюр		48700	s1_40
Мебель		Шкаф-витрина	Аделаида	90×40×200	белый	массив	классика, состаренный, массив сосны состаренный	37900	s1_41
Мебель		Книжный шкаф подвесной	Лофт	100×25×80	чёрный, дуб	металл	подвесной, лофт	7400	s1_42
Мебель		Кресло-реклайнер	Лион		графит	рогожка, ткань	с механизмом качания	32700	s1_43
Мебель		Корзина для белья	Венето	40×30×60	серый	ткань	плетёная с тканевым мешком	3700	s1_44
Мебель		Журнальный столик	Палермо	100×55	чёрный	мрамор каррара, металл	прямоугольный	26700	s1_45
Мебель		Журнальный столик мраморный	Орбита	100×55	чёрный, серый	мрамор, металл	прямоугольный	32400	s1_46
Мебель		Подставка под монитор	Лофт			бамбук	USB-хаб, лофт, с ящиком и USB-хабом	3400	s1_47
Мебель		Торшер с полкой	Кокон		латунь	латунь, дерево	с полкой	9700	s1_48
Мебель		Скатерть фуршетная	Премиум	320×180	белый, золото		атлас с каймой	3400	s1_49
Мебель		Двуспальная кровать	Дакота	180×200	серый		каретная стяжка	46500	s1_50
Мебель		Кровать						28400	s1_51
