Домен	Артикул	Тип товара	Наименование	Габариты	Цвет	Материал	Особенности	Цена (₽)	ID
Мебель		Шторы		150х270	тёмно-серый		2 полотна, блэкаут, готовые	3800	s5_1
Мебель		Барный стул			белая	экокожа	с подножкой, высокий	3400	s5_2
Мебель		Кроватка			белая		для новорождённого, с маятником, классический	7100	s5_3
Мебель		Гирлянда			белая		200 ламп, с пультом, на окно	2700	s5_4
Мебель		Кровать		160х200	светлый дуб		на платформе татами, низкий, японская	28460	s5_5
Мебель		Шкаф			тёмно-синий		3-секционный, детский, космические ракеты	15700	s5_6
Мебель		Комод			состаренный	сосна, металл	лофт, с металлическими ручками	13740	s5_7
Мебель		Скамья			изумрудный	велюр	для спальни, на ножках, круглая	3650	s5_8
Мебель		Кровать-чердак		90х200	белый		для двоих детей, с лестницей	28400	s5_9
Мебель		Прикроватный столик			графит		с зарядной станцией	5700	s5_10
Мебель		Комод-витрина			белый	стекло	с 2 стеклянными дверцами	11200	s5_11
Мебель		Прикроватный столик			тёмно-серый		с подстаканником, USB	5400	s5_12
Мебель		Кресло			изумрудный	велюр	с высокой спинкой	14210	s5_13
Мебель		Прикроватный столик			белый		на колёсиках	3400	s5_14
Мебель		Кроватка			натуральный бук		для новорождённого, с маятником, съёмным бортиком	7400	s5_15
Мебель		Кровать-карета		160х200	белая с золотыми элементами		двуспальная	38900	s5_16
Мебель		Пенал		30 см	белый глянец		с пятью полками, высокий, глянец	5800	s5_17
Мебель		Корзина			светлый	ротанг	для белья, с крышкой	3400	s5_18
Мебель		Велотренажёр			чёрный с красным		спин-байк, профессиональный	38700	s5_19
Мебель		Кровать-карета		90х200	розовая с золотом			26800	s5_20
Мебель		Кроватка		90х200	дуб сонома		для подростка	8100	s5_21
Мебель		Комод		40 см	белый		для маленькой комнаты	6700	s5_22
Мебель		Сундук			бежевая		для хранения	3800	s5_23
Мебель		Стеллаж			бежевый		для кошки	5460	s5_24
Мебель		Эллиптический тренажёр			чёрный		магнитный, домашний	28900	s5_25
Мебель		Спальный мешок			тёмно-зелёный		с подушками	5800	s5_26
Мебель		Кровать-домик			дуб		трёхместная	28400	s5_27
Мебель		Подставка			золото	металл	в виде дерева	2200	s5_28
Мебель		Сушилка			белый		для белья, складной, раздвижной	2400	s5_29
Мебель		Стеллаж			чёрный матовый	металл	матовый	6480	s5_30
Мебель		Двухъярусная кровать			пыльно-розовый	велюр	для троих	36400	s5_31
Мебель		Прихожая			дуб сонома		с зеркалом, угловой, модульный	19460	s5_32
Мебель		Кухонный уголок			бежевая	экокожа	угловой	17800	s5_33
Мебель		Шкаф-купе			дуб молочный			26790	s5_34
Мебель		Вешалка				бамбук	для обуви	2400	s5_35
Мебель		Светильник			графитовый		подвесной, лофт, 3 плафона	3430	s5_36
Мебель		Кровать-чердак		80х180	белый		низкий	19400	s5_37
Мебель		Корзина			белая	джут	детскую	1850	s5_38
Мебель		Беседка		3х3 м	оливковая		складной	9800	s5_39
Мебель		Шкаф			белый		для лоджии	6790	s5_40
Мебель		Кухонные стулья			белая	экокожа	4 шт	11490	s5_41
Мебель		Лампа			белая		для школьника, настольный	1750	s5_42
Мебель		Пуф			тёмно-синий	велюр	для хранения	3400	s5_43
Мебель		Скамья		120 см	бежевый	лён		6510	s5_44
Мебель		Стеллаж		200 см	графит		высокий	6800	s5_45
Мебель		Пуф		40 см	пудровый	велюр	круглый, туалетный	1820	s5_46
Мебель		Подставка			орех	дерево	складной	1850	s5_47
Мебель		Кровать		190 см	серая		раскладная	4900	s5_48
Мебель		Стул			натуральный	дерево	4 шт	9810	s5_49
Мебель		Барная стойка			белый глянец с дубом		с подсветкой, глянец	14470	s5_50
Мебель		Гарнитур			белый		трансформер	52400	s5_51
Мебель		Зеркало		60 см	мятный		настольное, визажное, led-подсветкой	5990	s5_52
Мебель		Свеча			золото	металл	3 шт	2400	s5_53
Мебель		Стеллаж			белый влагостойкий			6100	s5_54
Мебель		Подставка			дерево бамбук	бамбук	настольный	1450	s5_55
Мебель		Перегородка			белая		японская, раздвижной	14690	s5_56
Мебель		Дорожка		80х250	бежевая с орнаментом			3400	s5_57
Мебель		Барный стул			коричневая	экокожа		3900	s5_58
Мебель		Кресло						13900	s5_59
Мебель		Скамья			горчичный	велюр	для гостиной	7340	s5_60
Мебель		Кроватка					для новорождённого, с маятником	7900	s5_61
Мебель		Лампа		100х70	золото матовое		матовое	9740	s5_62
Мебель		Стул			коричневый	металл	4 шт	15490	s5_63
Мебель		Подушка			розовая		для детской, с принтом	850	s5_64
Мебель		Кресло			бежевый	велюр	для пожилых, высокое	28760	s5_65
Мебель		Кресло			бежевая	ротанг		13900	s5_66
Мебель		Стул			тёмный шоколад	ротанг		14800	s5_67
Мебель		Кухонный уголок			бежевый	лён	угловой	25400	s5_68
Мебель		Тумба		140 см	белый			11440	s5_69
Мебель		Гамак			тёмно-синий		с подушкой	5400	s5_70
Мебель		Полка			графит		для подростка, с подсветкой, угловой	13800	s5_71
Мебель		Туалетный столик			белый матовый		с подсветкой, круглым, матовый	13480	s5_72
Мебель		Подставка			золото матовое		матовое	3410	s5_73
Мебель		Стеллаж		200 см	тёмное дерево			13860	s5_74
Мебель		Когтеточка			бежевый с серым		для котят	3260	s5_75
Мебель		Кровать		160х200	бежевая			28900	s5_76
Мебель		Шезлонг			белый			7200	s5_77
Мебель		Кухонный уголок			серая			29800	s5_78
Мебель		Плед		200х220	бежевый		крупная вязка	3900	s5_79
Мебель		Двухъярусная кровать			серая рогожка	рогожка	для троих, угловым	42800	s5_80
Мебель		Скамья		100 см	серая		для прихожей	5800	s5_81
Мебель		Кровать		80х170				15900	s5_82
Мебель		Зеркало		70 см	чёрное	металл	настенное, круглое	3200	s5_83
Мебель		Шкаф		100 см	мятный с золотом			18350	s5_84
Мебель		Кроватка		140х200	пыльно-розовый	велюр	двуспальная, подъёмным механизмом	21900	s5_85
Мебель		Стол		160х80	белый		на колёсиках	14200	s5_86
Мебель		Картина	Лес туманный				настенная, модульный	3200	s5_87
Мебель		Кровать-ракета		80х170	тёмно-синий с белым		космический	18950	s5_88
Мебель		Зеркало		60 см	золото матовое		настольное, матовое, визажное, led-подсветкой	5990	s5_89
Мебель		Балдахин		180х200	слоновая кость		балдахином	36400	s5_90
Мебель		Шкаф-купе			дуб сонома		угловой	26710	s5_91
Мебель		Гардеробная			белый с серым		угловой, модульный	26440	s5_92
Мебель		Прикроватная тумба		35х35	белый матовый		высоких, матовый	2830	s5_93
Мебель		Столик			графит			4800	s5_94
Мебель		Шкаф-купе	город	160 см			2-дверный, для подростка, с фотопечатью	17900	s5_95
Мебель		Кресло-мешок			жёлтый с чёрным		с принтом тигра	2680	s5_96
Мебель		Стенка			дуб сонома с белым		для гостиной	33710	s5_97
Мебель		Кровать-домик		70х140	белая с крышей			9800	s5_98
Мебель		Диван		180 см	меланж	велюр	для гостиной	24710	s5_99
Мебель		Стул			дуб с серым		4 шт, круглой	13790	s5_100
Мебель		Гладильная доска			графитовый			5800	s5_101
Мебель		Горка		130 см	голубой с белым		складной	9890	s5_102
Мебель		Шезлонг			бежевый плед в комплекте		для гостиной, в комплекте	14700	s5_103
Мебель		Кровать-домик		90х200	белая		с лестницей	19700	s5_104
Мебель		Шкаф		40 см	белый влагостойкий		для лоджии	7900	s5_105
Мебель		Шезлонг			натуральный		для дачи	6700	s5_106
Мебель		Шатёр		3х3	белый		для дачи	8400	s5_107
Мебель		Кресло				ротанг	подвесное	21800	s5_108
Мебель		Корзина			серый бежевый		круглая	3400	s5_109
Мебель		Корзина		70 см	серый ротанг	ротанг	для белья, на колёсиках	4700	s5_110
Мебель		Шкаф-купе		240 см	венге			31790	s5_111
Мебель		Сушилка			серый		для белья, подогревом	6700	s5_112
Мебель		Стеллаж			чёрный с золотом	стекло		7390	s5_113
Мебель		Кушетка		170 см	бархат изумрудный с пуговицами		для гостиной	26410	s5_114
Мебель		Стойка			белый матовый		высокий, матовый	5260	s5_115
Мебель		Столик						2950	s5_116
Мебель		Свеча		25 см		стекло		2200	s5_117
Мебель		Ночник			белый			2490	s5_118
Мебель		Балдахин	Сон императора	180х200	мореный палисандр		резная, балдахином	48790	s5_119
Мебель		Стол			белый с золотом		раскладной	13410	s5_120
Мебель		Подушка		45х45	горчичный	велюр	квадратная	850	s5_121
Мебель		Двухъярусная кровать			дуб молочный		для двоих детей, с лестницей-комодом	24500	s5_122
Мебель		Компьютерный стол		120 см	венге			7800	s5_123
Мебель		Диван			коричневая	экокожа	трёхместный, электрорегулировкой	54420	s5_124
Мебель		Диван			серая	рогожка	угловой	22500	s5_125
Мебель		Кровать		160х200	орех	сосна	двуспальная	31200	s5_126
Мебель		Ковёр		60х90	тёмно-серый			1750	s5_127
Мебель		Шкаф		120х40х60	светлый дуб		для гостиной, низкий, японский	9650	s5_128
Мебель		Кухонный уголок			горчичный	велюр		21400	s5_129
Мебель		Кровать		160х200	белый глянец		двуспальная, глянец	38700	s5_130
Мебель		Беседка			бежевый тент			11400	s5_131
Мебель		Подставка			золото матовое		матовое	3470	s5_132
Мебель		Кровать		180х200	натуральный	массив дуба	двуспальная	48700	s5_133
Мебель		Скамья		120 см				6700	s5_134
Мебель		Шкаф-купе		240 см	дуб сонома		3-дверный, с зеркалом	26900	s5_135
Мебель		Кресло			коричневый	ротанг		11900	s5_136
Мебель		Парта		80 см	белый с голубым		детский	6440	s5_137
Мебель		Шкаф		240 см	белый		с зеркалом	28400	s5_138
Мебель		Стеллаж				дерево		3200	s5_139
Мебель		Бра			патина	лён		3400	s5_140
Мебель		Стул			серый	металл	барный	3600	s5_141
Мебель		Кровать		80х180	серебристый с синим			28780	s5_142
Мебель		Кровать-чердак			белый		детскую	19900	s5_143
Мебель		Шкаф		120х40х60	венге		для гостиной, низкий, японский	9650	s5_144
